transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_247420.1	12.23	13.2	55.66	76.53	32.26	14.23	15.19	21.23	16.9	15.08	15.98	15	35.99	13.1
Smp_247420.2	4.73	3.88	21.99	8.2	0	3.56	19.79	19.67	10.56	14.17	13.14	11.04	2.56	12.73
Smp_247420.3	73.22	67.44	0	26.39	6.31	11.72	8.29	7.42	5.76	4.24	6.61	5.72	4.45	2.84
Smp_247420.4	0.76	0.88	0	7.52	12.57	1.08	0.88	13.83	9.05	9.26	16.69	20.31	36.73	31.82
Smp_247430.1	1.6	0.9	0.74	0.21	2.61	4.55	10.45	18.94	15.48	16.38	9.26	9.82	3.57	10.09
Smp_247440.1	20.64	19.6	38.8	56.25	38.07	5.4	4.85	7.5	16.58	11.69	12.64	8.35	26.47	6.14
Smp_247450.1	7.41	8.96	13.31	17.55	23.32	13.79	22.19	55.45	31.75	30.63	31.89	29.9	40.55	31.47
Smp_247450.2	2.64	1.41	0	0	0	1.06	3.51	4.95	4.86	5.76	5.5	5.79	9.09	5.81
Smp_247460.1	190.97	281.53	156.17	171.85	92.66	14.1	37.79	49.01	69.42	84.36	98.17	112.3	131.2	133.86
Smp_247470.1	9.08	6.82	3.07	14.64	9.75	7.69	9.14	7.06	9.54	7.5	6.07	4.35	6.45	2.79
Smp_247470.2	0	0	12.18	0	6.98	0	1.66	4.05	0	0	0.09	0	3.1	1.12
Smp_247470.3	0	0.11	0	0	0	0.14	0	0.21	0.21	0	0.12	0.08	0.35	0
Smp_247480.1	0.39	0.09	0.62	0.71	3.34	0.58	1.82	1.92	5.32	4.36	5.15	4.5	3.53	5.07
Smp_247520.1	50.44	53.8	44.83	39.98	45.53	92.34	92.22	66.53	50.55	56.65	64.74	70.81	38.19	72.36
Smp_247530.1	0.35	0.26	1.22	0.83	0.37	1.51	0	0.46	4.18	6.5	6.11	8.39	1.24	8.89
Smp_247530.2	0.35	0	0	0	0	1.46	0.66	0.12	0.29	0	0.13	0.36	0.05	0.04
Smp_247530.3	0	0.07	0	0	0.46	0.28	0	0	0	0.17	0.31	0	0	0.02
Smp_247530.4	0.15	0	2.31	1.19	4.82	0	1.11	0.17	0	0	0.29	0	3.11	3.61
Smp_247540.1	23.77	20.83	11.68	11.82	15.32	18.02	33.9	37.59	19.92	19.38	18.3	19.47	12.4	22.17
Smp_247560.1	356.94	194.21	90.03	85.94	123.03	130.43	126.92	101.53	61.15	62.03	57.75	56.33	114.56	69.04
Smp_247570.1	295.87	304.54	93	116.22	81.47	82.09	83.91	45.17	44.46	44.65	48	47.64	65.6	47.03
Smp_247580.1	5.77	0	20.96	0	15.71	3.41	3.06	3.38	16.48	12.66	12.38	11.66	26.44	15.17
Smp_247580.2	8.38	8.12	63.81	35.39	112.32	33.03	36.45	49.87	61.31	69.7	56.11	70.47	104.85	76.1
Smp_247590.1	2.53	2.96	2.61	5.95	4.23	5.63	10.97	13.32	22.2	27.28	13.55	18.11	3.13	18.09
Smp_247600.1	94.85	149.06	26.03	31.08	14.41	0.8	0.78	1.76	8.27	5.73	7.85	3.74	20.18	2.62
Smp_247600.2	3.22	7.68	0	16.22	3.11	1.62	0	0.42	1.21	0.97	2.1	0.95	2.06	0
Smp_247620.1	3.09	0.68	0	0	2.69	4.87	3.29	3.4	7.05	5.89	6.49	6.11	1.97	4.89
Smp_247630.1	34.21	34.4	34.66	30.51	44.03	19.2	16.98	15.95	28.8	22.47	23.04	20.72	23.8	13.73
Smp_247630.2	3.46	3.6	11.16	7.37	26.39	8.16	6.6	9.26	10.43	10.13	8.42	8.65	7.28	9.58
Smp_247640.1	44.45	76.73	93.61	0.04	90.75	85.95	59.67	63.17	60.34	50.97	55.25	51.43	73.6	39.56
Smp_247640.2	7.93	2.67	20.56	94.08	41.76	34.01	23.24	22.1	20.5	16.04	20.9	17.79	12.67	15.75
Smp_247650.1	725.2	952.67	243.52	274.82	150.86	145.92	141.21	187.28	151.18	148.91	154.95	151.02	181.48	138.23
Smp_247660.1	0	13.77	6618.33	2690.06	1496.71	0	0	0	0	0	0	0	0	0
Smp_247670.1	13.23	13.92	35.28	24.39	28.97	13.16	21.27	50.68	36.74	36.45	29.63	30.93	20.75	31.27
Smp_247680.1	3.85	3.27	26.39	35.36	12.84	5.2	10	20.49	15.44	17.44	13.55	14.18	20.92	17.86
Smp_247700.1	6.94	7.06	0	0	7.59	19.77	5.7	12.89	24.95	25.56	13.83	12.73	32.79	16.51
Smp_247710.1	4	5.89	7.77	6.71	4.75	12.8	20.08	17.92	6.25	6.1	7.09	6.06	6.01	5.13
Smp_247720.1	4.73	4.83	8.77	1.99	2.32	7.52	1.9	2.32	6.13	4.48	6.47	5.9	3.23	3.14
Smp_247720.2	14.82	25.88	54.08	46.28	53.26	23.02	25.14	33.84	21.72	20.49	17.93	17.52	21.74	19.66
Smp_247740.1	16.12	31.47	49.25	86.41	36.33	34.88	47.81	54.3	32.38	35.93	29.02	32.61	14.37	29.96
Smp_247750.1	276.83	103.4	3.62	1.03	1.42	0.5	0.6	0.07	0.01	0.02	0.07	0	0.09	0
Smp_247760.1	142.43	43.76	0	5.56	12.8	0.54	0.24	1.23	0	0.14	0.05	0.02	0.08	0
Smp_247770.1	23.25	30.45	44.64	69.32	36.58	2.87	3.88	5.74	17.15	13.37	13.8	10.23	18.07	5.91
Smp_247770.2	2.94	2.14	0	0	2.98	0.58	0	0.89	2.3	2.41	1.23	1.57	1.46	1.73
Smp_247780.1	1.84	2.23	2.52	3.1	3.55	1.17	3.25	7.39	18.85	23.25	22.46	26.8	6.95	27.61
Smp_247790.1	0.39	1.74	4.56	0	6.67	3.45	10.41	20.49	46.04	52.48	57.48	66.01	47.05	79.97
Smp_247790.2	0	0	0	0	0	0	0.21	0	0.27	0.18	1.24	0.92	2.11	1.14
Smp_247800.1	0.58	0.35	2.13	0.81	2.99	0.25	1.82	1.26	0.72	0.74	0.2	0.15	0.17	0.1
Smp_247810.1	0.39	0.04	0.39	0.45	2.97	4.87	2.29	5.23	6.51	5.88	5.55	4.22	2.7	2.64
Smp_247810.2	0.02	0.04	0	0	0	0.66	0.28	0.02	0.03	0.01	0.03	0	0	0
Smp_247820.1	114.25	102.3	197.47	275.22	192.1	166.15	98.82	58.12	103.78	102.11	93.77	92.47	142.67	98.76
Smp_247820.2	2.94	2.47	0	0	0	0.86	0.96	1.26	2.94	3.72	1.92	3.35	1.44	3
Smp_247830.1	39.16	32.57	11.91	21	8.33	31.85	40.5	28.43	8.56	7.61	10.47	8.89	8.27	6.78
Smp_247850.1	0.58	0.93	8.46	1.28	29.23	2.88	4.65	0.79	6.43	22.91	18.57	24.25	4.23	32
Smp_247860.1	3.26	0.22	1.79	2.05	14.54	11.56	0.67	0.2	0.28	0.23	0.21	0.24	0.44	0.23
Smp_247870.1	112.7	72.03	23.47	22.59	13.43	94.91	54.32	22.78	10.36	10.13	12.74	12.92	9.15	16.51
Smp_247880.1	34.75	53.98	33.12	26.25	26.83	16.08	8.57	11.98	19.21	18.38	17.81	17	29.42	15.22
Smp_247890.1	6.12	6.18	23.37	0	31.3	9.93	4.16	10.12	15.1	16.22	16.51	16.99	12.65	16.91
Smp_247890.2	1.38	2.82	4.96	2.52	5.73	1.95	2.37	2.52	4.07	3.2	5.05	5.48	1.87	2.49
Smp_247890.3	15.8	6.71	16.33	39.28	14.42	26.22	24.65	29.02	42.28	41.65	38.67	40.57	41.78	45.06
Smp_247920.1	2.31	0.73	0	0	0	2.6	0.37	4.34	1.19	0	1.23	2.14	0	0
